Region;Del;Kon;Tema;Varde_stand
0114 Upplands Väsby;Livskvalitet;Totalt;T7;53,528537453713383
0114 Upplands Väsby;Livskvalitet;Totalt;T8;65,079260847934691
0114 Upplands Väsby;Livskvalitet;Totalt;T9;63,490061569551138
0115 Vallentuna;Hållbarhet;Kvinnor;Ekonomi;36,273899988418968
0115 Vallentuna;Hållbarhet;Kvinnor;Social;61,552881184695259
0115 Vallentuna;Hållbarhet;Män;Ekonomi;48,532145258662723
0115 Vallentuna;Hållbarhet;Män;Social;63,624858534530532
0115 Vallentuna;Hållbarhet;Totalt;Ekonomi;42,599279414374351
0115 Vallentuna;Hållbarhet;Totalt;Miljö;69,856672529180130
0115 Vallentuna;Hållbarhet;Totalt;Social;71,508589195043143
0115 Vallentuna;Livskvalitet;Kvinnor;T1;83,314794215795331
0115 Vallentuna;Livskvalitet;Kvinnor;T10;80,657861684740155
0115 Vallentuna;Livskvalitet;Kvinnor;T11;61,331386846589673
0115 Vallentuna;Livskvalitet;Kvinnor;T12;48,460705549391193
0115 Vallentuna;Livskvalitet;Kvinnor;T2;29,866557833202897
0115 Vallentuna;Livskvalitet;Kvinnor;T3;52,389878163074023
0115 Vallentuna;Livskvalitet;Kvinnor;T4;77,588306942752737
0115 Vallentuna;Livskvalitet;Kvinnor;T5;40,886890625508272
0115 Vallentuna;Livskvalitet;Kvinnor;T6;63,383982352598238
0115 Vallentuna;Livskvalitet;Kvinnor;T7;80,326463894291365
0115 Vallentuna;Livskvalitet;Kvinnor;T8;-4,134385618521767
0115 Vallentuna;Livskvalitet;Kvinnor;T9;65,202604188465358
0115 Vallentuna;Livskvalitet;Män;T1;68,353726362625139
0115 Vallentuna;Livskvalitet;Män;T10;67,965498557955996
0115 Vallentuna;Livskvalitet;Män;T11;40,675660296465487
0115 Vallentuna;Livskvalitet;Män;T12;54,493316301616531
0115 Vallentuna;Livskvalitet;Män;T2;75,631990380759760
0115 Vallentuna;Livskvalitet;Män;T3;34,301780693533310
0115 Vallentuna;Livskvalitet;Män;T4;76,004872107186358
0115 Vallentuna;Livskvalitet;Män;T5;63,845952082768321
0115 Vallentuna;Livskvalitet;Män;T6;63,406007215920560
0115 Vallentuna;Livskvalitet;Män;T7;75,490666964878073
0115 Vallentuna;Livskvalitet;Män;T8;99,622477292432080
0115 Vallentuna;Livskvalitet;Män;T9;52,367292659878061
0115 Vallentuna;Livskvalitet;Totalt;T1;43,583172964250835
0115 Vallentuna;Livskvalitet;Totalt;T10;74,231775316005809
0115 Vallentuna;Livskvalitet;Totalt;T11;38,903400365046124
0115 Vallentuna;Livskvalitet;Totalt;T12;46,083952279604475
0115 Vallentuna;Livskvalitet;Totalt;T2;58,773227915017415
0115 Vallentuna;Livskvalitet;Totalt;T3;57,205881044168976
0115 Vallentuna;Livskvalitet;Totalt;T4;75,699100724447803
0115 Vallentuna;Livskvalitet;Totalt;T5;75,891316723854871
0115 Vallentuna;Livskvalitet;Totalt;T6;63,781629911908794
0115 Vallentuna;Livskvalitet;Totalt;T7;77,939472811140888
0115 Vallentuna;Livskvalitet;Totalt;T8;48,025852292014704
0115 Vallentuna;Livskvalitet;Totalt;T9;56,069642618355822
0117 Österåker;Hållbarhet;Kvinnor;Ekonomi;35,571755181097444
0117 Österåker;Hållbarhet;Kvinnor;Social;58,476225309799588
0117 Österåker;Hållbarhet;Män;Ekonomi;49,756475321194578
0117 Österåker;Hållbarhet;Män;Social;61,053668846830028
0117 Österåker;Hållbarhet;Totalt;Ekonomi;42,852466866735583
0117 Österåker;Hållbarhet;Totalt;Miljö;70,634020538417161
0117 Österåker;Hållbarhet;Totalt;Social;66,673759526641945
0117 Österåker;Livskvalitet;Kvinnor;T1;76,640711902113452
0117 Österåker;Livskvalitet;Kvinnor;T10;72,338244894558244
0117 Österåker;Livskvalitet;Kvinnor;T11;64,887393316111527
0117 Österåker;Livskvalitet;Kvinnor;T12;48,460705549391193
0117 Österåker;Livskvalitet;Kvinnor;T2;36,227777687245712
0117 Österåker;Livskvalitet;Kvinnor;T3;52,389878163074023
0117 Österåker;Livskvalitet;Kvinnor;T4;71,741778319123028
0117 Österåker;Livskvalitet;Kvinnor;T5;41,768800186669466
0117 Österåker;Livskvalitet;Kvinnor;T6;58,969733606720169
0117 Österåker;Livskvalitet;Kvinnor;T7;74,777855258909341
0117 Österåker;Livskvalitet;Kvinnor;T8;43,142431348630872
0117 Österåker;Livskvalitet;Kvinnor;T9;68,299294726096747
0117 Österåker;Livskvalitet;Män;T1;63,292547274749722
0117 Österåker;Livskvalitet;Män;T10;70,737510039166040
0117 Österåker;Livskvalitet;Män;T11;42,345750017945761
