Region;Del;Kon;Varde_stand
19 Västmanlands län;Hållbarhet;Totalt;42,6374388666685
19 Västmanlands län;Livskvalitet;Kvinnor;27,3561168300952
19 Västmanlands län;Livskvalitet;Män;45,3225653483298
19 Västmanlands län;Livskvalitet;Totalt;38,1408626546908
20 Dalarnas län;Hållbarhet;Kvinnor;35,3335187496120
20 Dalarnas län;Hållbarhet;Män;58,1051845167381
20 Dalarnas län;Hållbarhet;Totalt;42,6232026368408
20 Dalarnas län;Livskvalitet;Kvinnor;39,0550834333577
20 Dalarnas län;Livskvalitet;Män;52,0190029586167
20 Dalarnas län;Livskvalitet;Totalt;45,9514720296972
21 Gävleborgs län;Hållbarhet;Kvinnor;15,6812182601990
21 Gävleborgs län;Hållbarhet;Män;48,4872797666219
21 Gävleborgs län;Hållbarhet;Totalt;39,0204833577217
21 Gävleborgs län;Livskvalitet;Kvinnor;36,4206613436024
21 Gävleborgs län;Livskvalitet;Män;48,3366424828370
21 Gävleborgs län;Livskvalitet;Totalt;42,5995956089184
22 Västernorrlands län;Hållbarhet;Kvinnor;30,1954611908491
22 Västernorrlands län;Hållbarhet;Män;50,8025893536428
22 Västernorrlands län;Hållbarhet;Totalt;42,7415263345582
22 Västernorrlands län;Livskvalitet;Kvinnor;53,6082137353574
22 Västernorrlands län;Livskvalitet;Män;52,9404929342850
22 Västernorrlands län;Livskvalitet;Totalt;50,7352296514046
23 Jämtlands län;Hållbarhet;Kvinnor;32,6084257090684
23 Jämtlands län;Hållbarhet;Män;64,8355938166510
23 Jämtlands län;Hållbarhet;Totalt;47,0094784332907
23 Jämtlands län;Livskvalitet;Kvinnor;43,0178513615590
23 Jämtlands län;Livskvalitet;Män;54,1848243064936
23 Jämtlands län;Livskvalitet;Totalt;50,4868500997701
24 Västerbottens län;Hållbarhet;Kvinnor;42,8515480047288
24 Västerbottens län;Hållbarhet;Män;75,7468138268019
24 Västerbottens län;Hållbarhet;Totalt;60,2742587269482
24 Västerbottens län;Livskvalitet;Kvinnor;64,7319127921076
24 Västerbottens län;Livskvalitet;Män;71,8771841209171
24 Västerbottens län;Livskvalitet;Totalt;72,2846040974471
25 Norrbottens län;Hållbarhet;Kvinnor;34,2268170542701
25 Norrbottens län;Hållbarhet;Män;50,9338051807373
25 Norrbottens län;Hållbarhet;Totalt;40,5792270606451
25 Norrbottens län;Livskvalitet;Kvinnor;54,3952718423165
25 Norrbottens län;Livskvalitet;Män;64,5951931608655
25 Norrbottens län;Livskvalitet;Totalt;64,8777745516168
