Region;Del;Kon;Varde_stand
0162 Danderyd;Hållbarhet;Totalt;82,2645336576530
0162 Danderyd;Livskvalitet;Kvinnor;66,9231175731697
0162 Danderyd;Livskvalitet;Män;70,8787886688385
0162 Danderyd;Livskvalitet;Totalt;73,4005766059930
0163 Sollentuna;Hållbarhet;Kvinnor;49,3776864512118
0163 Sollentuna;Hållbarhet;Män;58,3155094699482
0163 Sollentuna;Hållbarhet;Totalt;60,3253687127449
0163 Sollentuna;Livskvalitet;Kvinnor;60,8105408058283
0163 Sollentuna;Livskvalitet;Män;61,9390114550940
0163 Sollentuna;Livskvalitet;Totalt;58,5898149010212
0180 Stockholm;Hållbarhet;Kvinnor;48,3713786956399
0180 Stockholm;Hållbarhet;Män;54,7704164883832
0180 Stockholm;Hållbarhet;Totalt;57,3465340633349
0180 Stockholm;Livskvalitet;Kvinnor;63,4796877877830
0180 Stockholm;Livskvalitet;Män;66,1945053301596
0180 Stockholm;Livskvalitet;Totalt;60,3960432189619
0181 Södertälje;Hållbarhet;Kvinnor;30,1572602099556
0181 Södertälje;Hållbarhet;Män;35,3222004172639
0181 Södertälje;Hållbarhet;Totalt;46,6531532234376
0181 Södertälje;Livskvalitet;Kvinnor;39,7186541921315
0181 Södertälje;Livskvalitet;Män;45,9157103682718
0181 Södertälje;Livskvalitet;Totalt;43,3987431388134
0182 Nacka;Hållbarhet;Kvinnor;56,4222372690880
0182 Nacka;Hållbarhet;Män;62,4899105153017
0182 Nacka;Hållbarhet;Totalt;67,5779691698872
0182 Nacka;Livskvalitet;Kvinnor;66,2885455087167
0182 Nacka;Livskvalitet;Män;71,4746219979410
0182 Nacka;Livskvalitet;Totalt;65,0284162156419
0183 Sundbyberg;Hållbarhet;Kvinnor;44,7371910632602
0183 Sundbyberg;Hållbarhet;Män;48,7125124954830
0183 Sundbyberg;Hållbarhet;Totalt;59,1769220048459
0183 Sundbyberg;Livskvalitet;Kvinnor;58,0601628027576
0183 Sundbyberg;Livskvalitet;Män;60,9215935940614
0183 Sundbyberg;Livskvalitet;Totalt;59,3067031031975
0184 Solna;Hållbarhet;Kvinnor;48,9986984535657
0184 Solna;Hållbarhet;Män;53,1779349153538
0184 Solna;Hållbarhet;Totalt;59,0967903668598
0184 Solna;Livskvalitet;Kvinnor;68,8411690216587
0184 Solna;Livskvalitet;Män;67,0152438624094
0184 Solna;Livskvalitet;Totalt;64,2612928403406
0186 Lidingö;Hållbarhet;Kvinnor;64,3499542189347
0186 Lidingö;Hållbarhet;Män;72,3491758701418
0186 Lidingö;Hållbarhet;Totalt;71,5872280398898
0186 Lidingö;Livskvalitet;Kvinnor;65,0969676744035
0186 Lidingö;Livskvalitet;Män;68,2172956676668
0186 Lidingö;Livskvalitet;Totalt;69,4058812666765
0187 Vaxholm;Hållbarhet;Kvinnor;54,7786565305941
0187 Vaxholm;Hållbarhet;Män;64,8799353093286
0187 Vaxholm;Hållbarhet;Totalt;70,8057039009367
0187 Vaxholm;Livskvalitet;Kvinnor;63,6939347676167
0187 Vaxholm;Livskvalitet;Män;67,0195202917547
0187 Vaxholm;Livskvalitet;Totalt;64,8947057656480
0188 Norrtälje;Hållbarhet;Kvinnor;34,9448349382147
0188 Norrtälje;Hållbarhet;Män;41,5790588691080
0188 Norrtälje;Hållbarhet;Totalt;50,2474445169258
0188 Norrtälje;Livskvalitet;Kvinnor;54,4250359226692
0188 Norrtälje;Livskvalitet;Män;59,3574100244832
0188 Norrtälje;Livskvalitet;Totalt;54,5929192170483
0191 Sigtuna;Hållbarhet;Kvinnor;31,7847625054160
0191 Sigtuna;Hållbarhet;Män;37,8010215616351
0191 Sigtuna;Hållbarhet;Totalt;45,4010175385722
0191 Sigtuna;Livskvalitet;Kvinnor;47,4757274882924
0191 Sigtuna;Livskvalitet;Män;51,0781464384816
0191 Sigtuna;Livskvalitet;Totalt;41,6168215458057
0192 Nynäshamn;Hållbarhet;Kvinnor;39,7005123569726
0192 Nynäshamn;Hållbarhet;Män;43,5638270723850
0192 Nynäshamn;Hållbarhet;Totalt;48,4023538610792
0192 Nynäshamn;Livskvalitet;Kvinnor;53,7767158115525
0192 Nynäshamn;Livskvalitet;Män;56,8697322178230
0192 Nynäshamn;Livskvalitet;Totalt;53,8741456414404
0305 Håbo;Hållbarhet;Kvinnor;46,9650842291967
0305 Håbo;Hållbarhet;Män;52,1444124376114
0305 Håbo;Hållbarhet;Totalt;58,1170776437828
0305 Håbo;Livskvalitet;Kvinnor;57,9820112967243
0305 Håbo;Livskvalitet;Män;62,8715321535965
0305 Håbo;Livskvalitet;Totalt;56,4913787300544
0319 Älvkarleby;Hållbarhet;Kvinnor;39,6363857291730
0319 Älvkarleby;Hållbarhet;Män;43,7498155963436
0319 Älvkarleby;Hållbarhet;Totalt;50,0762808672214
0319 Älvkarleby;Livskvalitet;Kvinnor;49,2311521926762
0319 Älvkarleby;Livskvalitet;Män;55,0014210544031
0319 Älvkarleby;Livskvalitet;Totalt;49,5088919251483
0330 Knivsta;Hållbarhet;Kvinnor;55,8123448993526
0330 Knivsta;Hållbarhet;Män;59,9212721451307
0330 Knivsta;Hållbarhet;Totalt;63,2840601998694
0330 Knivsta;Livskvalitet;Kvinnor;54,6863624469836
0330 Knivsta;Livskvalitet;Män;64,4454801909225
0330 Knivsta;Livskvalitet;Totalt;55,2570278936619
0331 Heby;Hållbarhet;Kvinnor;37,0827833581489
0331 Heby;Hållbarhet;Män;41,1064564042705
0331 Heby;Hållbarhet;Totalt;51,9738920708751
0331 Heby;Livskvalitet;Kvinnor;42,8000692898078
0331 Heby;Livskvalitet;Män;53,4640287719255
0331 Heby;Livskvalitet;Totalt;47,0153483953023
0360 Tierp;Hållbarhet;Kvinnor;41,2369132761391
0360 Tierp;Hållbarhet;Män;46,1856631921251
0360 Tierp;Hållbarhet;Totalt;52,7599977727235
0360 Tierp;Livskvalitet;Kvinnor;47,3897290229047
0360 Tierp;Livskvalitet;Män;54,6285413724978
0360 Tierp;Livskvalitet;Totalt;48,4986830730868
0380 Uppsala;Hållbarhet;Kvinnor;47,6935733455734
0380 Uppsala;Hållbarhet;Män;51,5239947045676
0380 Uppsala;Hållbarhet;Totalt;54,6342592541770
0380 Uppsala;Livskvalitet;Kvinnor;57,8300069667142
0380 Uppsala;Livskvalitet;Män;64,2176591181436
0380 Uppsala;Livskvalitet;Totalt;58,7352559793017
0381 Enköping;Hållbarhet;Kvinnor;44,1493388229430
0381 Enköping;Hållbarhet;Män;47,4321385091538
0381 Enköping;Hållbarhet;Totalt;53,5135639451133
0381 Enköping;Livskvalitet;Kvinnor;48,9267432741051
0381 Enköping;Livskvalitet;Män;58,2647951402302
0381 Enköping;Livskvalitet;Totalt;46,8439707897097
0382 Östhammar;Hållbarhet;Kvinnor;45,4080816047605
0382 Östhammar;Hållbarhet;Män;52,4416230138980
0382 Östhammar;Hållbarhet;Totalt;56,3634073647565
0382 Östhammar;Livskvalitet;Kvinnor;51,6446467814047
0382 Östhammar;Livskvalitet;Män;60,4413886586054
0382 Östhammar;Livskvalitet;Totalt;53,6214333217918
0428 Vingåker;Hållbarhet;Kvinnor;32,6741519431801
0428 Vingåker;Hållbarhet;Män;37,1046561154284
0428 Vingåker;Hållbarhet;Totalt;43,9785032181723
0428 Vingåker;Livskvalitet;Kvinnor;43,2084555848520
0428 Vingåker;Livskvalitet;Män;54,4032359928848
0428 Vingåker;Livskvalitet;Totalt;46,7751183993885
0461 Gnesta;Hållbarhet;Kvinnor;42,9522420576392
