Region;Del;Kon;Tema;Varde_stand
01 Stockholms län;Livskvalitet;Totalt;T8;65,3861950171944102
01 Stockholms län;Livskvalitet;Totalt;T9;84,1390349564827602
03 Uppsala län;Hållbarhet;Kvinnor;Ekonomi;3,1089013631833975
03 Uppsala län;Hållbarhet;Kvinnor;Social;85,7341613316237527
03 Uppsala län;Hållbarhet;Män;Ekonomi;68,4746491303454690
03 Uppsala län;Hållbarhet;Män;Social;56,5620630927388461
03 Uppsala län;Hållbarhet;Totalt;Ekonomi;40,5618131824342356
03 Uppsala län;Hållbarhet;Totalt;Miljö;69,5325101640620318
03 Uppsala län;Hållbarhet;Totalt;Social;67,6400110190443797
03 Uppsala län;Livskvalitet;Kvinnor;T1;110,0000000000000000
03 Uppsala län;Livskvalitet;Kvinnor;T10;120,4961842210226877
03 Uppsala län;Livskvalitet;Kvinnor;T11;84,3492584058967054
03 Uppsala län;Livskvalitet;Kvinnor;T12;34,3756876345372930
03 Uppsala län;Livskvalitet;Kvinnor;T2;-47,8494623655913855
03 Uppsala län;Livskvalitet;Kvinnor;T3;30,7692307692307772
03 Uppsala län;Livskvalitet;Kvinnor;T4;64,5270270270270458
03 Uppsala län;Livskvalitet;Kvinnor;T5;17,5191076923243045
03 Uppsala län;Livskvalitet;Kvinnor;T6;48,5035124954486179
03 Uppsala län;Livskvalitet;Kvinnor;T7;50,3006369196091470
03 Uppsala län;Livskvalitet;Kvinnor;T8;-21,4165013291704227
03 Uppsala län;Livskvalitet;Kvinnor;T9;79,8885402921042953
03 Uppsala län;Livskvalitet;Män;T1;36,6666666666666643
03 Uppsala län;Livskvalitet;Män;T10;62,7637663739547307
03 Uppsala län;Livskvalitet;Män;T11;22,3958159535218044
03 Uppsala län;Livskvalitet;Män;T12;40,2727218368811890
03 Uppsala län;Livskvalitet;Män;T2;115,0537634408601946
03 Uppsala län;Livskvalitet;Män;T3;46,1538461538461604
03 Uppsala län;Livskvalitet;Män;T4;59,7972972972972912
03 Uppsala län;Livskvalitet;Män;T5;72,4332186299370449
03 Uppsala län;Livskvalitet;Män;T6;32,9635391875362913
03 Uppsala län;Livskvalitet;Män;T7;37,7789053102105896
03 Uppsala län;Livskvalitet;Män;T8;109,8869438887787737
03 Uppsala län;Livskvalitet;Män;T9;38,1361877136394440
03 Uppsala län;Livskvalitet;Totalt;T1;67,1108349346072970
03 Uppsala län;Livskvalitet;Totalt;T10;91,1209130538248075
03 Uppsala län;Livskvalitet;Totalt;T11;53,4720572424381615
03 Uppsala län;Livskvalitet;Totalt;T12;37,8242047357092872
03 Uppsala län;Livskvalitet;Totalt;T2;33,3333333333333286
03 Uppsala län;Livskvalitet;Totalt;T3;30,0004133152143737
03 Uppsala län;Livskvalitet;Totalt;T4;59,7411555763496338
03 Uppsala län;Livskvalitet;Totalt;T5;48,7842476501820954
03 Uppsala län;Livskvalitet;Totalt;T6;46,2465922625204300
03 Uppsala län;Livskvalitet;Totalt;T7;44,1618680415893650
03 Uppsala län;Livskvalitet;Totalt;T8;43,4572325874585914
03 Uppsala län;Livskvalitet;Totalt;T9;59,7717336267709030
04 Södermanlands län;Hållbarhet;Kvinnor;Ekonomi;-14,4308289253185755
04 Södermanlands län;Hållbarhet;Kvinnor;Social;54,5007300317370920
